id,title,original_title,overview,release_date,runtime,vote_average,vote_count,popularity,poster_path,backdrop_path,budget,revenue,status,tagline,imdb_id,homepage,adult,genres,production_countries,production_companies,spoken_languages,keywords,top_cast,directors
324544,В потерянных землях,In the Lost Lands,"После гибели техногенной цивилизации в мир вернулись магия и монстры. По тайному заданию королевы ведьма Серая Элис отправляется из последнего города Земли в опасные Потерянные земли. Вместе с проводником Бойсом ей предстоит до полной Луны найти источник силы, что может обращать человека в зверя. Путников преследует безжалостная армия крестоносцев, а за каждым поворотом поджидают порождения тьмы.",2025-02-27,101,6.332,340,186.644,/hoMFjgg9uwhkOjXsw1tmyNM9vsV.jpg,/op3qmNhvwEvyT7UFyPbIfQmKriB.jpg,55000000,4755330,Released,,tt4419684,,False,боевик|фэнтези|приключения,Germany|Switzerland,Constantin Film|Spark Productions,English||Deutsch,witch|dystopia|sorcery|betrayal|based on short story|sorceress|high fantasy|survival adventure,Милла Йовович|Дейв Батиста|Arly Jover|Amara Okereke|Fraser James,Пол У. С. Андерсон
1225915,Похититель драгоценностей: Ограбление начинается,ज्वेल थीफ: द हीस्ट बिगिन्स,"Опытный вор берется за дело по краже легендарного африканского бриллианта «Красное солнце». То, что начинается как тщательно спланированное ограбление, перерастает в опасную игру с двойными уловками и сменой лояльности.",2025-04-25,116,6.7,35,186.4233,/2hVlGCYcR0EhhLwQal6q2PV9ljZ.jpg,/kFXtAwJYbRTqiyQpE9kDc8qEP3X.jpg,0,0,Released,,tt27843798,,False,боевик|триллер,India,Marflix Pictures,हिन्दी,audacious,Saif Ali Khan|Jaideep Ahlawat|Nikita Dutta|Kunal Kapoor|Kulbhushan Kharbanda,Robby Grewal|Kookie Gulati
1153714,Смерть Единорога,Death of a Unicorn,"Ридли вынуждена провести выходные с отцом-трудоголиком Эллиотом. И когда кажется, что их отношения может спасти только чудо, они сбивают… настоящего единорога. Алчная семейка, на которую работает Эллиот, тут же решает монетизировать его целебные свойства. Но настоящее волшебство начинается с появлением родителей детёныша, ведь свирепые единороги открывают охоту на жадных богачей — и теперь каждый получит по рогам.",2025-03-27,104,6.4,172,198.8344,/lVINt3dHhoMBLscMog0oYzrjCzR.jpg,/eDBZN0TbWkxoAB0qIDFagVcPPTN.jpg,15000000,15983827,Released,«Все Получат по Рогам»,tt28443655,,False,ужасы|фэнтези|комедия|приключения,United States of America,A24|Square Peg|Secret Engine|Ley Line Entertainment,English,dark comedy|blunt|psychotic|macabre|unicorn|nostalgic|dark fantasy|curious|mysterious|horror comedy|satirical|wonder|anxious|father daughter estrangement|dramatic|suspenseful|critical|witty|hilarious|whimsical|ambiguous|antagonistic|awestruck|baffled|bewildered|enchant|horrified|ridiculous,Дженна Ортега|Пол Радд|Уилл Портер|Ричард Э. Грант|Теа Леони,Alex Scharfman
974573,Ещё Одна Простая Просьба,Another Simple Favor,"Стефани стала частным детективом и писательницей, раскрыв преступление и отправив в тюрьму подругу Эмили. Но спустя 5 лет женщина неожиданно выходит на свободу и вновь появляется в жизни Стефани — она приглашает писательницу на свою роскошную свадьбу на острове Капри.",2025-03-07,120,6.132,189,159.7246,/9TcusiixhBzsVH2CnJreHp0QbzJ.jpg,/z3edlTX9YDBrVMoYupMsc8qdiUw.jpg,0,0,Released,«В Каждой Дружбе Есть Свой Поворот»,tt20214908,,False,триллер|комедия|криминал,United States of America,Feigco Entertainment|Lionsgate,English,sequel|mysterious woman|satirical|playful|tense|hilarious|intense|bold|exhilarated|vibrant,Анна Кендрик|Блейк Лайвли|Микеле Морроне|Генри Голдинг|Allison Janney,Пол Фиг
1471014,Ван Гог глазами Винсента,Van Gogh by Vincent,"За свою недолгую, всего десять лет, карьеру Винсент Ван Гог чаще всего изображал один и тот же объект — самого себя. Это история Винсента, рассказанная через восемь его самых знаковых автопортретов.",2025-03-26,46,6.4,14,145.0194,/z73X4WKZghBh5fri31o8P6vBEB2.jpg,/1AWjIUgbZYaKbwUH5qoJaKCcRkf.jpg,0,0,Released,,tt36364552,,False,документальный,United Kingdom,Unity House Productions,,,Zahra Ahmadi|Jack Etchells|Adam Woolley|Frances Christie|Neil Lebeter,Richard Shaw
1233413,Грешники,Sinners,"Пытаясь оставить позади свою нелегкую жизнь, братья-близнецы возвращаются в родной город, чтобы начать все заново, но обнаруживают, что еще большее зло ждет, чтобы поприветствовать их обратно.",2025-04-16,138,7.56,620,149.8042,/atPV0sdDhFrs4irt1Hw5Fq4aO4V.jpg,/nAxGnGHOsfzufThz20zgmRwKur3.jpg,90000000,244603597,Released,,tt31193180,,False,боевик|ужасы|триллер,United States of America,Warner Bros. Pictures|Proximity Media|Domain Entertainment,English|普通话,"chicago, illinois|capitalism|ku klux klan|musician|immortality|vampire|surrealism|sin|alcoholism|vampire hunter (slayer)|church|twins|estranged wife|dual role|cousin relationship|death of daughter|blues music|aftercreditsstinger|duringcreditsstinger|klansmen|1990s|1930s|salvation|assimilation|chinese immigrant|brother brother relationship|southern gothic|afro-descendants|cousins|supernatural horror|train station|juke joint|inspirational|passing for white|mississippi|horror|conceited|kkk|period horror",Майкл Б. Джордан|Miles Caton|Хейли Стайнфелд|Вунми Мосаку|Джек О'Коннелл,Райан Куглер
497698,Чёрная вдова,Black Widow,"Наташе Романофф предстоит лицом к лицу встретиться со своим прошлым. Чёрной Вдове придется вспомнить о том, что было в её жизни задолго до присоединения к команде Мстителей, и узнать об опасном заговоре, в который оказываются втянуты её старые знакомые — Елена, Алексей (известный как Красный Страж) и Мелина.",2021-07-07,134,7.208,10511,139.9633,/mbtN6V6y5kdawvAkzqN4ohi576a.jpg,/6azpBJGcLx9SKif8h9VMnflBfa.jpg,200000000,379751131,Released,Она закончила убегать от своего прошлого.,tt3480822,,False,боевик|приключения|фантастика,United States of America,Marvel Studios,English|Pусский,assassin|hero|spy|kgb|based on comic|female assassin|female spy|female hero|aftercreditsstinger|marvel cinematic universe (mcu)|woman director,Скарлетт Йоханссон|Флоренс Пью|Рэйчел Вайс|Дэвид Харбор|Рэй Уинстон,Cate Shortland
1414048,Судный день,Day of Reckoning,"В жизни шерифа Джона Дорси все идет не так — он вот-вот может потерять работу, да и жена собирается от него уйти. Чтобы взять в заложницы преступницу Эмили Раск, герой вынужден объединиться с маршалом Бутчем Хайденом. Между Эмили и блюстителями закона начинается психологическая война, в ходе которой девушке удается настроить мужчин друг против друга. Однако ситуация кардинально меняется, когда появляется муж Эмили с бандой грабителей. В борьбе за выживание бывшие противники — Эмили и Джон — понимают, что им придется объединить усилия, чтобы остаться в живых. «Судный день» (2025) — американский вестерн от режиссера Шона Сильва. Главные роли в фильме сыграли Билли Зейн («Титаник»), Зак Рериг («Дневники вампира») и Кара Джейд Майерс («Убийцы цветочной луны»).",2025-03-28,106,6.706,17,132.6639,/cVSjSQryFUERYSdOmdgJ2m0eBte.jpg,/1hBtO9tXP60IFBZD27OsbaBmxs5.jpg,0,0,Released,,tt35317668,,False,вестерн|боевик,United States of America,ESX Entertainment|Lila Lane Pictures|TackleBox Films,English,,Зак Рериг|Билли Зейн|Cara Jade Myers|Скотт Эдкинс|Trace Adkins,Shaun Silva
1356236,Заклятие монахини,Saint Catherine,"Сироту Элли спасают от сатанистов и помещают в особое учреждение, где проходят обучение бездомные подростки, которые уже хоть раз встречались с демонами.",2024-09-24,86,6.239,23,148.1451,/AfsM2wZU6sW98JXotSHj4cN4UmD.jpg,/svLj9iyRmmeNVRsMreANn7DPPZE.jpg,0,0,Released,,tt33319706,,False,ужасы,New Zealand,Black Mandala,English,,Raymond E. Lee|Pachi Lucas|Julia Kraiselburd|Emilia Mayo|Adriana Torrebejano,Gonzalo Mellid
1124620,Обезьяна,The Monkey,"Братья-близнецы Хэл и Билл находят на чердаке заводную обезьянку, принадлежавшую их отцу. С каждой вспышкой ее механических глаз следуют смерти - жестокие, необъяснимые, похожие на цепь зловещих совпадений. Годы спустя кошмар возвращается, и мрачная игра продолжается. Тьма сгущается, страх усиливается, а реальность становится призрачной, превращая происходящее в пугающий лабиринт. Никто не знает, когда обезьянка хлопнет в ладоши в последний раз и кто исчезнет следом. Незримая сила ведет эту игру, а правила остаются тайной. Основан на одноименном рассказе Стивена Кинга.",2025-02-14,97,5.901,583,137.3053,/ehrnPGBOA7EDYDYijNQxcEWLW9F.jpg,/6dC7ULfiutxwEAs7LjWHL2Tc7Zv.jpg,10000000,68752066,Released,«Все Умирают. И Это Жёстко»,tt27714946,,False,ужасы|комедия,Canada|United States of America,Atomic Monster|C2 Motion Picture Group|Range Media Partners|Oddfellows Entertainment|The Safran Company|Stars Collective,English,sibling relationship|shotgun|supernatural|drums|harpoon|dark comedy|gore|twin brother|maine|accidental death|wasp|monkey|exploding body|death|evil|evil twin|based on short story|dual role|cursed|1990s|horror comedy|father son relationship|mother son relationship|brother brother relationship|toy monkey|supernatural horror|toy|cursed object|horror|disgusted|japanese restaurant|father son estrangement,Тео Джеймс|Татьяна Маслани|Кристиан Конвери|Колин О’Брайен|Адам Скотт,Оз Перкинс
1136721,Записи из Гленорма,The Glenarma Tapes,"Весной 2020 года пять студентов и два преподавателя Колледжа искусств Среднего Ольстера, таинственным образом пропадают в лесу на северной части побережье Ирландии. Что же произошло в день их исчезновения, до сих пор остается неразгаданной загадкой.",2024-04-02,78,7.111,9,120.6564,/pyKjQ1NUMguwvagJipaqcWIOmmN.jpg,/nyZjhvcmeXcr8H2Xx6JzKEAxPph.jpg,0,0,Released,,tt27761801,,False,ужасы,United Kingdom,Village Films,English,found footage|cultists|cover-up attempt,Warren McCook|Emily Lamey|Rían Early|Sophie Hill|Colette Lennon Dougal,Tony Devlin
299537,Капитан Марвел,Captain Marvel,"После столкновения с враждующими инопланетными расами пилот военно-воздушных сил Кэрол Дэнверс обретает суперсилу и становится неуязвимой. Героине предстоит совладать со своими новыми способностями, чтобы противостоять могущественному врагу.",2019-03-06,130,6.802,16012,120.2694,/khIspz4hW7RyEJag16UKYxI9fuP.jpg,/qAzYK4YPSWDc7aa4R43LcwRIAyb.jpg,152000000,1131416446,Released,«Быстрее. Выше. Сильнее»,tt4154664,https://marvel.com/movies/movie/225/captain_marvel,False,боевик|приключения|фантастика,United States of America,Marvel Studios,English,superhero|based on comic|alien invasion|super power|female hero|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe (mcu)|woman director|1990s|alien technology|introspective|complicated,Бри Ларсон|Сэмюэл Л. Джексон|Бен Мендельсон|Джуд Лоу|Аннетт Бенинг,Ryan Fleck|Anna Boden
974576,Конклав,Conclave,"После внезапной смерти Папы кардиналы готовятся к конклаву — выбору нового главы католической церкви. Руководить этим сакральным таинством поручено кардиналу Лоуренсу. Но вскоре он понимает, что среди высшего духовенства готовится заговор, и узнаёт тайну, которая может пошатнуть самые основы церкви.",2024-10-25,120,7.201,2361,112.7404,/nXItu1of6ewi9pOjybSvxn3UR7H.jpg,/1YMrOtrW7b4pL2lfD8UciZPOJGs.jpg,20000000,115657988,Released,«За стенами Ватикана вершится судьба мира»,tt20215234,,False,драма|триллер|детектив,United Kingdom|United States of America,FilmNation Entertainment|Indian Paintbrush|House Productions,Español|English|Italiano|Latin,vatican (holy see)|pope|religion|election|roman catholic church|catholicism|questioning|cardinal|papal conclave|intimate|catholic monarchs|conceited,Рэйф Файнс|Стенли Туччи|Джон Литгоу|Isabella Rossellini|Lucian Msamati,Эдвард Бергер
1180906,Смертельный закат,Desert Dawn,В ходе расследования убийства женщины новый шериф маленького городка со своим заместителем раскрывают ложь и коррупцию местных теневых бизнесменов и бандитов из наркокартеля.,2025-05-15,89,0.0,0,109.9526,/S21BfLrJSD9njucBfY3CKqp8rD.jpg,/bFmziv84NfEVEGTK8c6EVY3bxve.jpg,0,0,Released,,tt27611143,,False,боевик|криминал|детектив|триллер,United States of America,Premiere Entertainment Group|Al Bravo Films,English,,Келлан Латс|Кэм Жиганде|Чад Майкл Коллинз|Texas Battle|Mike Ferguson,Marty Murray
1241982,Моана 2,Moana 2,"Получив вызов от предков-искателей, Моана и Мауи отправляются в далёкие и опасные воды Океании.",2024-11-21,100,7.077,2330,105.2321,/wrg0C7sw1T1ogXvS8P4kiawY9xv.jpg,/zo8CIjJ2nfNOevqNajwMRO6Hwka.jpg,150000000,1059544057,Released,«Океан Зовёт их Обратно»,tt13622970,,False,мультфильм|приключения|семейный|комедия,Canada|United States of America,Walt Disney Pictures|Walt Disney Animation Studios|Walt Disney Animation Studios,English,sea|ocean|villain|musical|sequel|duringcreditsstinger,Аулии Кравалхо|Дуэйн Джонсон|Hualālai Chung|Rose Matafeo|Дэвид Фэйн,Дэвид Деррик-мл.|Джейсон Хэнд|Дана Леду Миллер
1403735,లైలా,లైలా,,2025-02-14,134,5.0,3,104.3369,/l4gsNxFPGpzbq0D6QK1a8vO1lBz.jpg,/vNUwK5P42m81uG57kKI1WxSZwIQ.jpg,0,0,Released,,tt32831759,,False,комедия|мелодрама,India,Shine Screens,తెలుగు,,Vishwak Sen|Akansha Sharma|Babloo Prithiveeraj|Abhimanyu Singh|Vineet Kumar,Ram Narayan
1276073,Взрыв на Синкансэне,新幹線大爆破,"Скоростной поезд в Токио грозит взорваться, если его скорость упадет ниже 100 км/ч. Администрация вступает в гонку со временем, пытаясь спасти охваченных паникой пассажиров.",2025-04-23,134,6.894,151,102.2618,/9Mdjgvn53oa73yDtnrBEx4yScNg.jpg,/Zes06xI18u47pblwRGTtqRm0R8.jpg,0,0,Released,,tt33452974,https://www.netflix.com/ru/title/81629968,False,боевик|триллер|криминал|драма,Japan,Netflix|EPISCOPE,日本語,japan|police|bomb|remake|train|criminal|reboot|based on movie|frantic|high speed|didactic|gloomy|shinkansen,草彅剛|尾野真千子|要潤|のん|細田佳央太,樋口真嗣
297762,Чудо-женщина,Wonder Woman,"Перед тем как стать Чудо-Женщиной, она была Дианой — принцессой амазонок, обученной быть непобедимой воительницей. И когда на берегах огражденного ото внешнего мира райского острова, который служил ей родиной, терпит крушение американский пилот и рассказывает о серьезном конфликте, бушующем во внешнем мире, Диана покидает свой дом, чтобы справиться с этой угрозой. И там, сражаясь бок о бок с человеком в войне за мир, Диана обнаружит всю полноту своей власти… и свое истинное предназначение.",2017-05-30,141,7.217,20204,98.4806,/fMnMonAyK3nzp1P1odIFzYoSvYe.jpg,/AaABt75ZzfMGrscUR2seabz4PEX.jpg,149000000,823970682,Released,«Справедливость наступит вместе с ней»,tt0451279,,False,боевик|приключения|фэнтези,United States of America,Atlas Entertainment|Cruel & Unusual Films|DC Films,Deutsch|English,island|hero|strong woman|world war i|empowerment|superhero|feminism|greek mythology|based on comic|female protagonist|period drama|super power|heroine|woman director|female empowerment|1910s|dc extended universe (dceu),Галь Гадот|Крис Пайн|Конни Нильсен|Робин Райт|Дэнни Хьюстон,Patty Jenkins
302946,Расплата,The Accountant,"Лента расскажет историю математического гения Кристиана Вульфа, который подрабатывает аудитором для самых опасных преступных организаций. Когда ему «на хвост» садится отдел по борьбе с преступностью Министерства финансов во главе с Рэем Кингом Кристиан решает найти себе законопослушного клиента и проводит аудит в компании по производству новейшей робототехники, где сотрудница финансового отдела обнаружила «нестыковочку» в миллионы долларов. Но стоит Кристиану взяться за счета и выйти на след, как в деле начинают появляться жертвы.",2016-10-03,128,7.101,6526,96.7883,/xsuqYQBt3CGYMhOxtJkkRuNY60B.jpg,/dTGECn8He16tZeBHQTLf6rVydE8.jpg,44000000,155160045,Released,Просчитай свои шансы,tt2140479,,False,криминал|триллер|драма,United States of America,Zero Gravity Management|Electric City Entertainment|RatPac Entertainment|Warner Bros. Pictures,English,prison|sniper|assassin|autism|military service|money|treasury department|sniper rifle|gunfight|loner|hand to hand combat|numbers|accountant|math genius|brother brother relationship,Бен Аффлек|Синтия Аддай-Робинсон|Анна Кендрик|Дж.К. Симмонс|Джон Бернтал,Гэвин О’Коннор
1249213,Дроп,Drop,"Вдова Вайолет отправляется на первое за долгие годы свидание и немного нервничает. Но вопреки самым пессимистичным ожиданиям всё идет прекрасно, и её спутник оказывается вполне приятным и интересным собеседником. Внезапно женщине начинают поступать анонимные сообщения, в которых неизвестный угрожает убить её маленького сына, если Вайолет не будет выполнять указания преступника.",2025-04-10,100,6.549,266,93.5279,/xvI3jpp8UNL2rjZPcwLcHD39etx.jpg,/2CcMG34v4PCynvxwmBUwVtNqsKL.jpg,11000000,27781950,Released,Каждый человек - подозреваемый.,tt32149847,,False,детектив|триллер,United States of America,Blumhouse Productions|Platinum Dunes,English,mother|photographer|date|poison|widow|restaurant|psychological thriller|whodunit|phone|murder mystery|suspenseful|thriller|hum|threatening behavior,Мэган Фэйхи|Брэндон Скленар|Violett Beane|Jacob Robinson|Reed Diamond,Кристофер Лэндон
1092899,Осада,The Siege,"Наемный убийца по имени Уокер должен объединиться с двумя другими убийцами, Эльдой и Джульеттой, чтобы выжить во время рейда в Центр переподчинения, где его обрабатывают. Борясь за свою жизнь, они понимают, что только работая вместе, они смогут избежать смертельной участи, которая подстерегает их на каждом шагу.",2023-03-10,97,5.448,48,90.6336,/uWV9TRjplGKTmTqecjTqfgLECD1.jpg,/4eC0tsU9OxR3Adlo1yRJYUDraW9.jpg,0,0,Released,,tt16916320,,False,боевик|триллер,United Kingdom|United States of America,MSR Media SKN,English,,Daniel Stisen|Lauren Okadigbo|Yennis Cheung|Byron Gibson|Steven Blades,Brad Watson
335984,Бегущий по лезвию 2049,Blade Runner 2049,"В недалеком будущем мир населен людьми и репликантами, созданными выполнять самую тяжелую работу. Работа офицера полиции Кей - держать репликантов под контролем в условиях нарастающего напряжения... Пока он случайно не становится обладателем секретной информации, которая ставит под угрозу существование всего человечества. Желая найти ключ к разгадке, Кей решает разыскать Рика Декарда, бывшего офицера специального подразделения полиции Лос-Анджелеса, который бесследно исчез много лет назад.",2017-10-04,164,7.58,14102,89.6182,/kAq1RFHqtZrBvKve7GOGdgUU399.jpg,/bMdSmfI0qwpAkvhAL7sqpjmwgf4.jpg,150000000,259239658,Released,«Ключ к будущему наконец-то найден»,tt1856101,,False,фантастика|драма,Canada|United Kingdom|United States of America,Alcon Entertainment|Columbia Pictures|Scott Free Productions|Bud Yorkin Productions|Torridon Films|16:14 Entertainment,English|suomi|Magyar|日本語|Pусский|Somali|Español,"future|android|bounty hunter|artificial intelligence (a.i.)|genetics|dystopia|sequel|cyberpunk|los angeles, california|las vegas|tech noir|meditative|human cloning|blade runner|complex|2040s|cautionary|audacious|compassionate",Райан Гослинг|Харрисон Форд|Ана де Армас|Дейв Батиста|Робин Райт,Дени Вильнёв
762509,Муфаса: Король Лев,Mufasa: The Lion King,"Осиротевший Муфаса знакомится с наследником королевских кровей по имени Така. Вместе они отправляются в судьбоносное опасное путешествие, которое проверит их дружбу на прочность.",2024-12-18,120,7.4,2072,81.9831,/mSj47ckL15imHn9pX22jQG3adFt.jpg,/oHPoF0Gzu8xwK4CtdXDaWdcuZxZ.jpg,200000000,721046090,Released,«Сирота. Изгой. Король»,tt13186482,,False,приключения|семейный|мультфильм,United States of America,Walt Disney Pictures,English,friendship|paradise|lion|musical|prequel|jungle|told in flashback|betrayal by friend|chance meeting|live action remake|found family|lost,Аарон Пьер|Келвин Харрисон мл.|Тиффани Бун|Kagiso Lediga|Престон Найман,Барри Дженкинс
